epoch,train_loss,train_acc,val_loss,val_acc,alpha
1,1.9345574378967285,0.375,2.1321067810058594,0.42857142857142855,0.6222243309020996
2,1.9138972759246826,0.4375,2.128023147583008,0.42857142857142855,0.6219943165779114
3,1.888831377029419,0.375,2.122576951980591,0.42857142857142855,0.6217618584632874
4,2.021031141281128,0.3125,2.1177802085876465,0.42857142857142855,0.6215724945068359
5,2.0670762062072754,0.25,2.1130521297454834,0.42857142857142855,0.6213945150375366
6,1.8181606531143188,0.4375,2.1087114810943604,0.42857142857142855,0.6211993098258972
7,1.7680236101150513,0.5,2.1046042442321777,0.42857142857142855,0.621002733707428
8,1.9457619190216064,0.1875,2.1010444164276123,0.42857142857142855,0.6208043098449707
9,1.9607383012771606,0.3125,2.0974066257476807,0.42857142857142855,0.6206133365631104
10,1.842794418334961,0.4375,2.0938804149627686,0.42857142857142855,0.6204226613044739
11,1.9704300165176392,0.25,2.090101718902588,0.42857142857142855,0.6202528476715088
12,2.1882164478302,0.125,2.0861117839813232,0.42857142857142855,0.6200898885726929
13,1.9559952020645142,0.4375,2.0823142528533936,0.42857142857142855,0.6199342012405396
14,1.9243104457855225,0.4375,2.078871488571167,0.42857142857142855,0.6198098659515381
15,1.8807326555252075,0.375,2.075913667678833,0.42857142857142855,0.6196926236152649
16,1.884024977684021,0.5625,2.0731279850006104,0.42857142857142855,0.6195865273475647
